day,hour,temp,hum
11,1,12,80
11,2,11,83
11,3,11,85
11,4,10,89
11,5,10,84
11,6,11,80
11,7,11,90
11,8,13,87
11,9,14,74
11,10,17,66
11,11,18,66
11,12,19,69
11,13,19,61
11,14,20,56
11,15,20,57
11,16,17,66
11,17,15,69
11,18,16,56
11,19,14,67
11,20,14,69
11,21,14,70
11,22,15,70
11,23,14,78
11,24,15,74
12,1,13,84
12,2,12,86
12,3,12,89
12,4,12,99
12,5,13,98
12,6,11,90
12,7,14,90
12,8,16,87
12,9,19,88
12,10,22,76
12,11,24,67
12,12,26,65
12,13,25,64
12,14,26,56
12,15,25,57
12,16,22,77
12,17,20,77
12,18,18,76
12,19,16,78
12,20,15,74
12,21,14,80
12,22,15,81
12,23,13,82
12,24,12,85
13,1,10,88
13,2,10,87
13,3,9,98
13,4,9,99
13,5,8,99
13,6,10,100
13,7,11,90
13,8,12,88
13,9,13,76
13,10,15,69
13,11,16,66
13,12,17,69
13,13,18,64
13,14,19,62
13,15,19,60
13,16,16,63
13,17,14,64
13,18,12,77
13,19,11,78
13,20,9,83
13,21,8,85
13,22,8,87
13,23,7,90
13,24,7,89
